uniprot_accession,gene,kp_ess_in_vitro_call,kp_ess_in_vitro_score,kp_ess_urine_call,kp_ess_urine_score,kp_ess_serum_call,kp_ess_serum_score,kp_ess_in_vivo_call,kp_ess_in_vivo_score,kp_ess_vulnerability_call,kp_ess_sources,ec_transfer_essential,ec_transfer_via,ec_transfer_pident,n_ecoli_orthologs,entero_pct_essential,bacteria_pct_essential,proteomelm_ess_score,proteomelm_ess_essential,proteomelm_ess_status,geptop_score,geptop_essential,geptop_status,fba_essential,fba_growth_ratio,mapped_model_gene,fba_mapping_pident,fba_status,deeplyessential_score,deeplyessential_essential,deeplyessential_status,crispri_ce_library,kpnih1_essential,crispri_invivo_hit,ecoli_keio_essential,ecoli_goodall_essential,ecoli_crispri_rousset18_log2fc,ecoli_crispri_rousset18_essential,ecoli_crispri_wang18_fitness,ecoli_crispri_wang18_essential,ecoli_crispri_multistrain_frac,ecoli_vulnerability_hawkins,ecoli_rbtnseq_min_fitness,n_ecoli_screens_essential,ecoli_experimental_essential,ecoli_vulnerability_score,evidence_experimental,evidence_transfer,evidence_predictor,essentiality_score,experimentally_essential,essentiality_tier,evidence_sources,selectivity
P00562,metL,,,,,,,,,,,False,b3940,100.0,1,0.0,0.027,0.075,False,ok (head cv_auroc=0.809),0.0253,False,ok (37 refs),False,1.0,b3940,100.0,in_model,,,deferred,,,,False,False,-0.127663723323327,False,0.0932893658469,False,0.3333333333333333,,-2.677,0,False,0.0213,0.0213,0.0,0.04509,0.0266,False,non_essential,,broad_selective
P00579,rpoD,,,,,,,,,,,True,b3067,100.0,1,1.0,0.919,0.9949,True,ok (head cv_auroc=0.809),0.5519,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-5.08469870624972,True,-4.81731346236,False,0.8333333333333334,0.484030939425908,,3,True,0.8474,1.0,1.0,0.8287749999999999,0.9315,True,essential,Keio;Goodall;Rousset18;Ecoli;ProteomeLM;Geptop,broad_selective
P00582,polA,,,,,,,,,,,True,b3863,100.0,1,0.5710000000000001,0.405,0.9972,True,ok (head cv_auroc=0.809),0.3889,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,False,-1.54170126962237,False,-4.66906561647,False,0.9814814814814816,0.623353960619718,-5.094,1,True,0.4669,1.0,1.0,0.7690874999999999,0.9076,True,essential,Keio;Ecoli;ProteomeLM;Geptop,broad_human_homolog
P00634,phoA,,,,,,,,,,,False,b0383,100.0,1,0.0,0.0139999999999999,0.0,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0383,100.0,in_model,,,deferred,,,,False,False,-0.308586068187524,False,-0.307318780437,False,0.0,,-2.985,0,False,0.0514,0.0514,0.0,0.0,0.0206,False,non_essential,,broad_human_homolog
P00722,lacZ,,,,,,,,,,,False,b0344,100.0,1,0.0,0.0,0.0,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0344,100.0,in_model,,,deferred,,,,False,False,-0.310745565726514,False,-0.055025975389,False,0.0,,-4.99,0,False,0.0518,0.0518,0.0,0.0,0.0207,False,non_essential,,broad_human_homolog
P00803,lepB,,,,,,,,,,,True,b2568,100.0,1,1.0,0.784,0.9729,True,ok (head cv_auroc=0.809),0.4244,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-4.25358138501999,True,-8.217796296,True,0.9814814814814816,0.455673429664149,,4,True,0.8218,1.0,1.0,0.7672124999999999,0.9069,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM;Geptop,broad_human_homolog
P00804,lspA,,,,,,,,,,,True,b0027,100.0,1,1.0,0.77,0.9357,True,ok (head cv_auroc=0.809),0.4561,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-9.86077366904992,True,-8.33341390475,True,0.9814814814814816,-0.0831881790362832,,4,True,1.0,1.0,1.0,0.7558499999999999,0.9023,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM;Geptop,broad_selective
P00805,ansB,,,,,,,,,,,False,b2957,100.0,1,0.0,0.0,0.0,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b2957,100.0,in_model,,,deferred,,,,False,False,-0.427758634829681,False,0.0680489473191,False,0.0,,-3.958,0,False,0.0713,0.0713,0.0,0.0,0.0285,False,non_essential,,broad_selective
P00811,ampC,,,,,,,,,,,False,b4150,100.0,1,0.0,0.0139999999999999,0.005,False,ok (head cv_auroc=0.809),0.0253,False,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-0.156302559677575,False,0.272253082244,False,0.0,0.618432767761844,-5.411,0,False,0.3816,0.3816,0.0,0.012612499999999999,0.1577,False,non_essential,,broad_human_homolog
P00861,lysA,,,,,,,,,,,False,b2838,100.0,1,0.0,0.405,0.0009,False,ok (head cv_auroc=0.809),0.0524,False,ok (37 refs),True,0.0,b2838,100.0,in_model,,,deferred,,,,False,False,-0.705473582253075,False,-0.388610146749,False,0.2592592592592592,,-9.237,0,False,0.1176,0.1176,0.0,0.21617,0.1335,False,non_essential,FBA,broad_human_homolog
P00864,ppc,,,,,,,,,,,False,b3956,100.0,1,0.0,0.054,0.0015,False,ok (head cv_auroc=0.809),0.0571,False,ok (37 refs),False,0.9972,b3956,100.0,in_model,,,deferred,,,,False,False,-0.351686175822428,False,0.19218863061,False,0.4074074074074074,,-9.058,0,False,0.0586,0.0586,0.0,0.01788,0.0306,False,non_essential,,broad_selective
P00888,aroF,,,,,,,,,,,False,b2601,100.0,1,0.0,0.405,0.0022,False,ok (head cv_auroc=0.809),0.0264,False,ok (37 refs),False,1.0,b2601,100.0,in_model,,,deferred,,,,False,False,,False,-0.0471557734016,False,0.1111111111111111,,-3.645,0,False,0.0047,0.0047,0.0,0.00902,0.0055,False,non_essential,,broad_selective
P00893,ilvI,,,,,,,,,,,False,b0077,100.0,1,0.0,0.3779999999999999,0.0011,False,ok (head cv_auroc=0.809),0.0825,False,ok (37 refs),False,1.0,b0077,100.0,in_model,,,deferred,,,,False,False,-0.567695526442805,False,-0.153782214964,False,0.0185185185185185,,-7.653,0,False,0.0946,0.0946,0.0,0.0253,0.048,False,non_essential,,broad_human_homolog
P00894,ilvH,,,,,,,,,,,False,b0078,100.0,1,0.0,0.27,0.0308,False,ok (head cv_auroc=0.809),0.139,False,ok (37 refs),False,1.0,b0078,100.0,in_model,,,deferred,,,,False,False,-0.240166709300833,False,-0.210391105955,False,0.0185185185185185,,-7.977,0,False,0.04,0.04,0.0,0.0571,0.0388,False,non_essential,,broad_selective
P00903,pabA,,,,,,,,,,,False,b3360,100.0,1,0.0,0.176,0.0485,False,ok (head cv_auroc=0.809),0.1658,False,ok (37 refs),True,0.0,b3360,100.0,in_model,,,deferred,,,,False,False,-0.180746623314829,False,0.0975507390959,False,0.0,,-6.147,0,False,0.0301,0.0301,0.0,0.27399,0.1216,False,non_essential,FBA,broad_selective
P00904,trpGD,,,,,,,,,,,False,b1263,100.0,1,0.0,0.405,0.4368,False,ok (head cv_auroc=0.809),0.1362,False,ok (37 refs),True,0.0,b1263,100.0,in_model,,,deferred,,,,False,False,-0.303237879208341,False,-0.298750427272,False,0.2037037037037037,,-8.24,0,False,0.0505,0.0505,0.0,0.45926,0.2039,False,non_essential,FBA,broad_selective
P00914,phrB,,,,,,,,,,,False,b0708,100.0,1,0.0,0.284,0.0001,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-0.522087660512917,False,0.0979376380334,False,0.0,,-5.714,0,False,0.087,0.087,0.0,6.25e-05,0.0348,False,non_essential,,broad_human_homolog
P00926,dsdA,,,,,,,,,,,False,b2366,100.0,1,0.0,0.0,0.3145,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b2366,100.0,in_model,,,deferred,,,,False,False,-0.537400548383908,False,0.179458186226,False,0.0,,-4.682,0,False,0.0896,0.0896,0.0,0.15725,0.0987,False,non_essential,,broad_selective
P00935,metB,,,,,,,,,,,False,b3939,100.0,1,0.0,0.162,0.0,False,ok (head cv_auroc=0.809),0.0606,False,ok (37 refs),True,0.0,b3939,100.0,in_model,,,deferred,,,,False,False,-0.137913956183623,False,0.282151674998,False,0.6111111111111112,,-8.875,0,False,0.023,0.023,0.0,0.21818,0.0965,False,non_essential,FBA,broad_human_homolog
P00936,cyaA,,,,,,,,,,,False,b3806,100.0,1,0.0,0.0139999999999999,0.0009,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b3806,100.0,in_model,,,deferred,,,,False,False,-1.67844635816661,False,-1.87224843266,False,0.0925925925925925,,-3.995,0,False,0.2797,0.2797,0.0,0.00045,0.1121,False,non_essential,,broad_selective
P00946,manA,,,,,,,,,,,False,b1613,100.0,1,0.0,0.054,0.0,False,ok (head cv_auroc=0.809),0.0837,False,ok (37 refs),False,1.0,b1613,100.0,in_model,,,deferred,,,,False,False,-0.776442903172029,False,-0.389728380767,False,0.0185185185185185,,-5.648,0,False,0.1294,0.1294,0.0,0.025109999999999997,0.0618,False,non_essential,,broad_human_homolog
P00956,ileS,,,,,,,,,,,True,b0026,100.0,1,1.0,0.946,0.9955,True,ok (head cv_auroc=0.809),0.859,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-7.06795502973237,True,-7.89597759847,True,0.9803921568627452,0.0233032457022073,,4,True,1.0,1.0,1.0,0.9443124999999999,0.9777,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM;Geptop,broad_human_homolog
P00957,alaS,,,,,,,,,,,True,b2697,100.0,1,1.0,0.973,0.9951,True,ok (head cv_auroc=0.809),0.8451,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-7.23693038804644,True,-7.37567688343,True,0.9814814814814816,-0.0438586843544313,,4,True,1.0,1.0,1.0,0.93885,0.9755,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM;Geptop,broad_human_homolog
P00959,metG,,,,,,,,,,,True,b2114,100.0,1,1.0,0.6890000000000001,0.9817,True,ok (head cv_auroc=0.809),0.5966,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-7.01288687755635,True,-7.46026553203,True,0.9444444444444444,-0.0271367716328998,-5.547,4,True,1.0,1.0,1.0,0.8372875,0.9349,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM;Geptop,broad_human_homolog
P00962,glnS,,,,,,,,,,,True,b0680,100.0,1,1.0,0.784,0.9894,True,ok (head cv_auroc=0.809),0.5601,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-6.68456029097064,True,-7.66987552622,True,0.6862745098039216,0.312956747371294,,4,True,1.0,1.0,1.0,0.8284125,0.9314,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM;Geptop,broad_human_homolog
P00963,asnA,,,,,,,,,,,False,b3744,100.0,1,0.0,0.0139999999999999,0.0007,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b3744,100.0,in_model,,,deferred,,,,False,False,-0.638006254937678,False,0.334132563743,False,0.0,,-2.122,0,False,0.1063,0.1063,0.0,0.00035,0.0427,False,non_essential,,broad_selective
P00968,carB,,,,,,,,,,,False,b0033,100.0,1,0.0,0.5,0.001,False,ok (head cv_auroc=0.809),0.2481,True,ok (37 refs),False,1.0,b0033,100.0,in_model,,,deferred,,,,False,False,-0.396065686913834,False,-0.52619194155,False,0.2777777777777778,,-9.211,0,False,0.066,0.066,0.0,0.07493,0.0564,False,non_essential,Geptop,broad_human_homolog
P02358,rpsF,,,,,,,,,,,False,b4200,100.0,1,0.643,0.8240000000000001,0.4097,False,ok (head cv_auroc=0.809),0.3292,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,True,-8.27437300509281,True,-7.71487526441,True,0.9803921568627452,,,3,True,1.0,1.0,0.643,0.3795125,0.6804,True,essential,Goodall;Rousset18;Wang18;Geptop,broad_selective
P02359,rpsG,,,,,,,,,,,True,b3341,100.0,1,1.0,0.959,0.98,True,ok (head cv_auroc=0.809),0.9723,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-7.34004068619047,True,-7.72020966444,True,0.9803921568627452,-0.129509589275951,-6.862,4,True,1.0,1.0,1.0,0.9771124999999999,0.9908,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM;Geptop,broad_human_homolog
P02916,malF,,,,,,,,,,,False,b4033,100.0,1,0.0,0.0,0.0,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b4033,100.0,in_model,,,deferred,,,,False,False,-0.440803395717083,False,-0.0208414423851,False,0.0,,-4.167,0,False,0.0735,0.0735,0.0,0.0,0.0294,False,non_essential,,broad_selective
P02918,mrcA,,,,,,,,,,,False,b3396,100.0,1,0.0,0.122,0.204,False,ok (head cv_auroc=0.809),0.1296,False,ok (37 refs),False,1.0,b3396,100.0,in_model,,,deferred,,,,False,False,-0.498952668177366,False,-1.35650842658,False,0.0,0.590050172078168,-4.016,0,False,0.4099,0.4099,0.0,0.14088,0.2203,False,non_essential,,broad_selective
P02919,mrcB,,,,,,,,,,,False,b0149,100.0,1,0.0,0.351,0.0,False,ok (head cv_auroc=0.809),0.2092,False,ok (37 refs),False,1.0,b0149,100.0,in_model,,,deferred,,,,False,False,-0.398388586185572,False,-0.275440249027,False,0.037037037037037,0.155172594544058,-7.108,0,False,0.8448,0.8448,0.0,0.06276,0.363,False,likely_essential,,broad_selective
P02920,lacY,,,,,,,,,,,False,b0343,100.0,1,0.0,0.027,0.0371,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0343,100.0,in_model,,,deferred,,,,False,False,-0.506208653278317,False,-0.101027466944,False,0.0,,-2.285,0,False,0.0844,0.0844,0.0,0.01855,0.0412,False,non_essential,,broad_selective
P02921,melB,,,,,,,,,,,False,b4120,100.0,1,0.0,0.0,0.0078,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b4120,100.0,in_model,,,deferred,,,,False,False,-0.290568465290279,False,0.113325069347,False,,,-4.521,0,False,0.0484,0.0484,0.0,0.0039,0.0209,False,non_essential,,broad_human_homolog
P02925,rbsB,,,,,,,,,,,False,b3751,100.0,1,0.0,0.0,0.0,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b3751,100.0,in_model,,,deferred,,,,False,False,-0.568460734346733,False,0.0717895196201,False,0.0,,-5.226,0,False,0.0947,0.0947,0.0,0.0,0.0379,False,non_essential,,broad_selective
P02929,tonB,,,,,,,,,,,False,b1252,100.0,1,0.214,0.149,0.0062,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b1252,100.0,in_model,,,deferred,,,,False,True,-0.264058239894171,False,-0.697776395087,False,0.0185185185185185,,-5.595,1,True,0.0698,1.0,0.214,0.0031,0.444,True,essential,Goodall,broad_selective
P02930,tolC,,,,,,,,,,,False,b3035,100.0,1,0.071,0.054,0.002,False,ok (head cv_auroc=0.809),0.0584,False,ok (37 refs),False,1.0,b3035,100.0,in_model,,,deferred,,,,False,False,-1.98378465461438,False,-0.384704333164,False,0.5,,-9.366,0,False,0.3306,0.3306,0.071,0.018520000000000002,0.1538,False,non_essential,,broad_selective
P02931,ompF,,,,,,,,,,,False,b0929,100.0,1,0.0,0.0409999999999999,0.0,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0929,100.0,in_model,,,deferred,,,,False,False,0.248046899017366,False,0.41115603551,False,0.0,,-5.897,0,False,0.0,0.0,0.0,0.0,0.0,False,non_essential,,broad_selective
P02942,tsr,,,,,,,,,,,False,b4355,100.0,1,0.0,0.054,0.0465,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-0.454589245003919,False,0.235196839774,False,0.0,,-3.784,0,False,0.0758,0.0758,0.0,0.029062499999999998,0.0419,False,non_essential,,broad_selective
P02943,lamB,,,,,,,,,,,False,b4036,100.0,1,0.0,0.0,0.0026,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b4036,100.0,in_model,,,deferred,,,,False,False,-0.281861105978758,False,-0.120442397859,False,0.0,,-3.471,0,False,0.047,0.047,0.0,0.0013,0.0193,False,non_essential,,broad_selective
P03004,dnaA,,,,,,,,,,,True,b3702,100.0,1,1.0,0.851,0.9623,True,ok (head cv_auroc=0.809),0.8607,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,True,True,-5.6634830989493,True,-7.09216797553,True,0.9803921568627452,-0.0863355981735943,,4,True,1.0,1.0,1.0,0.9242,0.9697,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM;Geptop,broad_selective
P03007,dnaQ,,,,,,,,,,,False,b0215,100.0,1,0.7859999999999999,0.73,0.7782,True,ok (head cv_auroc=0.809),0.3909,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-1.27139637896903,False,-1.1869826083,False,0.4629629629629629,,,0,False,0.2119,0.2119,0.7859999999999999,0.6329625,0.4951,False,likely_essential,ProteomeLM;Geptop,broad_selective
P03018,uvrD,,,,,,,,,,,False,b3813,100.0,1,0.0,0.392,0.9858,True,ok (head cv_auroc=0.809),0.2961,True,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-0.286916044070911,False,0.167803169843,False,0.0,,-5.814,0,False,0.0478,0.0478,0.0,0.7271624999999999,0.31,False,likely_essential,ProteomeLM;Geptop,broad_selective
P03023,lacI,,,,,,,,,,,False,b0345,100.0,1,0.0,0.0,0.0002,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-0.519897625794809,False,0.416069600828,False,,,-3.765,0,False,0.0866,0.0866,0.0,0.000125,0.0347,False,non_essential,,broad_selective
P03819,kefC,,,,,,,,,,,False,b0047,100.0,1,0.0,0.0,0.0007,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0047,100.0,in_model,,,deferred,,,,False,False,-0.15018413904534,False,0.123273644171,False,0.0,,-2.429,0,False,0.025,0.025,0.0,0.00035,0.0101,False,non_essential,,broad_human_homolog
P03959,kdpA,,,,,,,,,,,False,b0698,100.0,1,0.0,0.027,0.0,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0698,100.0,in_model,,,deferred,,,,False,False,-0.241191461303495,False,-0.483835312284,False,0.0,,-3.98,0,False,0.0484,0.0484,0.0,0.0,0.0194,False,non_essential,,broad_selective
P03960,kdpB,,,,,,,,,,,False,b0697,100.0,1,0.0,0.0139999999999999,0.0072,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0697,100.0,in_model,,,deferred,,,,False,False,-0.292579445242373,False,0.135700114643,False,0.0,,-5.247,0,False,0.0488,0.0488,0.0,0.0036,0.021,False,non_essential,,broad_selective
P03961,kdpC,,,,,,,,,,,False,b0696,100.0,1,0.0,0.027,0.0021,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0696,100.0,in_model,,,deferred,,,,False,False,-0.210221749960148,False,-0.195327506879,False,0.0,,-6.915,0,False,0.035,0.035,0.0,0.00105,0.0144,False,non_essential,,broad_selective
P04036,dapB,,,,,,,,,,,False,b0031,100.0,1,0.929,0.784,0.6982,True,ok (head cv_auroc=0.809),0.5309,True,ok (37 refs),True,0.0,b0031,100.0,in_model,,,deferred,,,,True,True,-0.59897190024326,False,-5.29547678696,False,0.7777777777777778,0.532023637341971,,2,True,0.5295,1.0,0.929,0.7083699999999999,0.8691,True,essential,Keio;Goodall;ProteomeLM;Geptop;FBA,broad_selective
P04079,guaA,,,,,,,,,,,False,b2507,100.0,1,0.071,0.405,0.6003,True,ok (head cv_auroc=0.809),0.4141,True,ok (37 refs),True,0.0,b2507,100.0,in_model,,,deferred,,,,False,True,-4.29265590858613,True,-0.888858133926,False,0.7037037037037037,,,2,True,0.7154,1.0,0.071,0.6243799999999999,0.664,True,essential,Goodall;Rousset18;ProteomeLM;Geptop;FBA,broad_human_homolog
P04152,umuC,,,,,,,,,,,False,b1184,100.0,1,0.0,0.0139999999999999,0.0023,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-0.24416864589627,False,0.12719557311,False,0.0,,-3.575,0,False,0.0407,0.0407,0.0,0.0014375,0.0169,False,non_essential,,broad_selective
P04391,argI,,,,,,,,,,,False,b4254,100.0,1,0.0,0.405,0.0028,False,ok (head cv_auroc=0.809),0.1397,False,ok (37 refs),False,1.0,b4254,100.0,in_model,,,deferred,,,,False,False,-0.352913916726561,False,-0.258821677877,False,0.0,,-3.021,0,False,0.0588,0.0588,0.0,0.043309999999999994,0.0408,False,non_essential,,broad_human_homolog
P04395,alkA,,,,,,,,,,,False,b2068,100.0,1,0.0,0.027,0.0,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-0.081656445783389,False,0.278308137628,False,0.0,,-5.3,0,False,0.0136,0.0136,0.0,0.0,0.0054,False,non_essential,,broad_selective
P04425,gshB,,,,,,,,,,,False,b2947,100.0,1,0.0,0.351,0.0016,False,ok (head cv_auroc=0.809),0.0538,False,ok (37 refs),False,1.0,b2947,100.0,in_model,,,deferred,,,,False,False,-1.13298938068505,False,-0.245184339893,False,0.0185185185185185,,-4.848,0,False,0.1888,0.1888,0.0,0.016939999999999997,0.0823,False,non_essential,,broad_selective
P04693,tyrB,,,,,,,,,,,False,b4054,100.0,1,0.0,0.0409999999999999,0.0029,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b4054,100.0,in_model,,,deferred,,,,False,False,-0.266987430308961,False,-0.1036301142,False,0.0,,-4.287,0,False,0.0445,0.0445,0.0,0.00145,0.0184,False,non_essential,,broad_human_homolog
